English,日本語
came,来る
go,行く
bring,持ってくる、連れてくる、もたらす
take,持っていく、連れていく、乗っていく、かかる
look,見える
have,持っている、食べる、飲む
keep,にしておく、のままでいる
get,手に入れる、着く、行く
make,作る
ask,尋ねる、頼む
math,数学
science,科学、理科
language,言語
question,質問
lesson,レッスン、授業、課、教訓
test,テスト、試験、検査
idea,考え、アイディア
news,知らせ、ニュース
group,集団、グループ
member,一員、メンバ
large,大きい、広い
small,小さい、狭い
long,長い
tall,背の高い
short,短い、低い
high,高い
low,低い
great,偉大な、大きな
kind,親切な、優しい
clean,きれいな、清潔な
cry,泣く、叫ぶ
smile,微笑む
feel,感じる
enjoy,楽しむ
like,好きである
love,愛する、大好きである
give,与える、あげる
think,思う、考える
want,したい、ほしい
hope,望む、願う
movie,映画
phone,電話
bath,風呂
fun,楽しみ
trip,旅行
plan,予定、計画
seat,座席
vacation,休暇
village,村
farm,農場
fast,速い
slow,遅い
early,早い
late,遅れた
easy,簡単な、容易な
difficult,難しい
same,同じ
different,異なる、様々な
strong,強い、丈夫な
weak,弱い、もろい
drink,飲む
eat,食べる
cook,作る、料理する
fly,飛ぶ、飛行機で行く
jump,跳ぶ、はねる
move,働く
walk,歩く、散歩する
run,走る
swim,泳ぐ
sing,歌う
shopping,買い物
store,店
earth,地球、地面、土
fire,火、火事
land,陸、土地
plant,植物、工場
wind,風
air,空気、空中
light,光、明かり
festival,祭り、催し物
meet,会う、出迎える
join,加わる、つながる
welcome,歓迎する
speak,話す
talk,話す、話し合う
say,言う
tell,言う、話す、教える
call,呼ぶ、電話する、呼び声、通話
stand,立っている、立つ
sit,座る、座っている
nice,よい、すてきな、楽しい、親切な
wonderful,素晴らしい、素敵な
fine,素晴らしい、晴れた、元気な
cloudy,曇った
rainy,雨の
sunny,晴れ渡った、日野峪輝
hot,熱い、暑い
cold,寒い、冷たい、冷酷な
warm,暖かい、温かい
cool,涼しい、ひんやりした、冷静な、かっこいい
ago,前に
already,すでに、もう
yet,まだ、もう
just,たった今、ちょうど
then,そのとき、そのころ、それから
still,まだ、今もなお
together,いっしょに
really,本当に
soon,もうすぐ、間もなく
well,じょうずに、十分に、よく、さて、ところで
leave,去る、出発する、置き忘れる、のままにする
visit,訪ねる、訪れる
return,戻る、返す、戻す、帰宅、返却
wait,待つ
stay,とどまる、滞在する
